Cbench started.
Measure Mode: wall_time
Thread ID: 11802960
Fiber ID: 14782220
Total: 59.631248
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.00      0.001     0.001     0.000     0.000       75   NilClass#to_s
  0.00      0.001     0.001     0.000     0.000      317   Regexp#===
  0.00      0.002     0.001     0.000     0.002      196   <Class::Gem::Platform>#match
  0.00      0.003     0.001     0.000     0.003       86   Gem::Dependency#matches_spec?
  0.00      0.001     0.001     0.000     0.001      403   Array#uniq!
  0.00      0.001     0.001     0.000     0.000      418   String#+
  0.00      0.002     0.001     0.000     0.002      168   Set#add
  0.00      0.001     0.001     0.000     0.001       78   BinData::StringArgProcessor#sanitized_pad_byte
  0.00      0.001     0.001     0.000     0.000      215   String#initialize
  0.00      0.001     0.001     0.000     0.000      105   Exception#initialize
  0.00      0.003     0.001     0.000     0.003      163   URI::Generic#user=
  0.00      0.001     0.001     0.000     0.000      300   Module#class_variable_get
  0.00     58.012     0.001     0.000    58.011      141  *Proc#call
  0.00      0.002     0.001     0.000     0.001      150   Module#parent_name
  0.00      0.004     0.001     0.000     0.003       38   Bundler::Dependency#initialize
  0.00      0.001     0.001     0.000     0.000       12   Kernel#caller
  0.00      0.059     0.001     0.000     0.059       82   Bundler::LazySpecification#__materialize__
  0.00      0.001     0.001     0.000     0.000       80   Module#attr_reader
  0.00      0.001     0.001     0.000     0.000       30   Array#-
  0.00      0.001     0.001     0.000     0.000       59   Module#attr_accessor
  0.00      0.001     0.001     0.000     0.000      169   URI::Generic#split_userinfo
  0.00      0.004     0.001     0.000     0.003      170   URI::Generic#component_ary
  0.00      0.008     0.001     0.000     0.007       39   <Module::Pio::OpenFlow>#alias_open_flow_class
  0.00      0.004     0.001     0.000     0.003      109   Set#do_with_enum
  0.00      0.001     0.001     0.000     0.000      256   Fixnum#to_s
  0.00      0.025     0.001     0.000     0.024       87   BinData::RecordArgProcessor#sanitize_parameters!
  0.00      0.001     0.001     0.000     0.001      170   URI::Generic#component
  0.00      0.002     0.001     0.000     0.002      163   URI::Generic#set_user
  0.00      0.007     0.001     0.000     0.006      166   URI::Generic#hash
  0.00      0.001     0.001     0.000     0.000      579   Fixnum#>
  0.00      0.003     0.001     0.000     0.002      114   Module#include
  0.00      0.001     0.001     0.000     0.000      217   BinData::SanitizedParameters#endian
  0.00      0.002     0.001     0.000     0.002       75   ActiveSupport::DescendantsTracker#inherited
  0.00      0.001     0.001     0.000     0.000       82   Bundler::LazySpecification#initialize
  0.00      0.001     0.001     0.000     0.000      205   Kernel#method
  0.00      0.002     0.001     0.000     0.001       31   BinData::BaseArgProcessor#separate_args
  0.00      0.002     0.001     0.000     0.001       92   BinData::BasePrimitive#method_missing
  0.00      0.001     0.001     0.000     0.001       75   <Class::GLI::CommandLineOption>#name_as_string
  0.00      0.005     0.001     0.000     0.004       45   GLI::CommandLineToken#parse_names
  0.00      0.036     0.001     0.000     0.036      329  *Bundler::SpecSet#tsort_each_child
  0.00      0.004     0.001     0.000     0.003      123   Gem::Requirement#satisfied_by?
  0.00      0.000     0.000     0.000     0.000      217   BinData::DSLMixin::DSLParser#has_fields?
  0.00      0.014     0.000     0.000     0.014       12   GLI::DSL#command
  0.00      0.000     0.000     0.000     0.000      289   Module#const_defined?
  0.00      0.000     0.000     0.000     0.000      310   Array#+
  0.00      0.000     0.000     0.000     0.000      226   Bundler::MatchPlatform#match_platform
  0.00      0.000     0.000     0.000     0.000      114   Module#append_features
  0.00      0.001     0.000     0.000     0.000       84   Bundler::SourceList#source_list_for
  0.00      0.001     0.000     0.000     0.000       93   Bundler::RemoteSpecification#initialize
  0.00      0.005     0.000     0.000     0.004       44   <Class::BinData::Primitive>#inherited
  0.00      0.003     0.000     0.000     0.003       80   Bundler::Source::Rubygems#to_s
  0.00      0.001     0.000     0.000     0.000      191   BinData::Base#has_parameter?
  0.00      0.361     0.000     0.000     0.361       10  *Kernel#gem_original_require
  0.00      0.000     0.000     0.000     0.000      329   Array#slice!
  0.00      0.000     0.000     0.000     0.000      109   Exception#backtrace
  0.00      0.004     0.000     0.000     0.003       60   BinData::Base#new
  0.00      0.002     0.000     0.000     0.001       93   <Class::Bundler::StubSpecification>#from_stub
  0.00      0.001     0.000     0.000     0.000       50   <Class::File>#expand_path
  0.00      0.002     0.000     0.000     0.001       75   <Module::ActiveSupport::DescendantsTracker>#store_inherited
  0.00      0.000     0.000     0.000     0.000      163   URI::Generic#check_user
  0.00      0.001     0.000     0.000     0.000       74   NameError#initialize
  0.00      0.001     0.000     0.000     0.000       98   <Class::Gem::Version>#create
  0.00      0.000     0.000     0.000     0.000      360   Array#compact!
  0.00      0.000     0.000     0.000     0.000      163   URI::Generic#check_password
  0.00      0.001     0.000     0.000     0.001       65   Hash#merge
  0.00      0.009     0.000     0.000     0.008       64   Forwardable#def_instance_delegators
  0.00      0.000     0.000     0.000     0.000      229   Kernel#initialize_copy
  0.00      0.002     0.000     0.000     0.002       93   Bundler::Index#search_by_spec
  0.00      0.000     0.000     0.000     0.000      200   Gem::Specification#dependencies
  0.00      0.015     0.000     0.000     0.015      154   Bundler::DepProxy#==
  0.00      0.005     0.000     0.000     0.005        3   String#scan
  0.00      0.000     0.000     0.000     0.000      107   Exception#exception
  0.00      0.000     0.000     0.000     0.000       86   String#freeze
  0.00      0.007     0.000     0.000     0.007      163   Bundler::Source::Rubygems#hash
  0.00      0.001     0.000     0.000     0.000        8   Module#remove_method
  0.00      0.001     0.000     0.000     0.001      108   OptionParser::List#search
  0.00      0.001     0.000     0.000     0.000      188   Array#<=>
  0.00      0.000     0.000     0.000     0.000      143   Hash#initialize
  0.00      0.007     0.000     0.000     0.006       17   <Module::BinData::BitField>#define_methods
  0.00      0.001     0.000     0.000     0.001      164   Bundler::Source#can_lock?
  0.00      0.000     0.000     0.000     0.000      162   Method#to_proc
  0.00      0.000     0.000     0.000     0.000      150   Module#private
  0.00      0.001     0.000     0.000     0.000       49   Bundler::Settings#key_for
  0.00      0.004     0.000     0.000     0.004       82   BinData::Primitive#method_missing
  0.00      0.000     0.000     0.000     0.000      114   Module#const_set
  0.00      0.023     0.000     0.000     0.023       67   Class#initialize
